boro_ct2010,Date,Time,Type
3052500,12/5/2017,11:00:00,PropertyCrime
1010100,12/3/2017,11:55:00,PropertyCrime
2021700,10/7/2017,18:00:00,PropertyCrime
3013500,11/15/2017,12:00:00,PropertyCrime
3034200,11/3/2017,18:58:00,PropertyCrime
2017500,11/17/2017,12:00:00,PropertyCrime
5017700,8/11/2017,13:00:00,PropertyCrime
1010100,11/15/2017,19:05:00,PropertyCrime
3080600,12/21/2017,15:00:00,PropertyCrime
4027900,12/29/2017,17:45:00,PropertyCrime
2022300,10/15/2017,18:06:00,PropertyCrime
3089000,12/15/2017,9:00:00,PropertyCrime
4044601,12/2/2017,9:13:00,PropertyCrime
2027700,9/12/2017,9:00:00,PropertyCrime
2023502,8/17/2017,5:47:00,PropertyCrime
1018900,4/18/2017,12:00:00,PropertyCrime
1011300,8/21/2017,0:00:00,PropertyCrime
2025100,10/29/2017,15:38:00,PropertyCrime
3055700,12/1/2017,12:00:00,PropertyCrime
3095800,11/15/2017,14:00:00,PropertyCrime
3004700,10/18/2017,8:00:00,PropertyCrime
1021800,10/2/2017,10:42:00,PropertyCrime
3058000,8/15/2017,9:00:00,PropertyCrime
3111800,7/11/2017,9:00:00,PropertyCrime
3079802,4/1/2017,12:00:00,PropertyCrime
1005000,9/24/2017,9:00:00,PropertyCrime
3051602,11/6/2017,17:30:00,PropertyCrime
4074700,11/30/2017,11:00:00,PropertyCrime
1022900,11/11/2017,13:00:00,PropertyCrime
1010100,9/8/2017,13:30:00,PropertyCrime
1011202,2/6/2017,18:25:00,PropertyCrime
1000600,9/5/2017,12:00:00,PropertyCrime
3110400,12/22/2017,7:00:00,PropertyCrime
4044000,11/15/2017,8:00:00,PropertyCrime
3074800,1/1/2017,12:00:00,PropertyCrime
3013100,12/25/2017,20:00:00,PropertyCrime
1023501,10/1/2017,12:00:00,PropertyCrime
1014601,12/31/2017,23:30:00,PropertyCrime
4047600,8/12/2017,13:00:00,PropertyCrime
1011600,11/27/2017,9:00:00,PropertyCrime
3089600,9/27/2017,18:30:00,PropertyCrime
4014300,10/23/2017,12:00:00,PropertyCrime
3010600,8/29/2017,12:00:00,PropertyCrime
4077904,12/23/2017,12:00:00,PropertyCrime
3024900,11/22/2017,20:39:00,PropertyCrime
1012000,11/7/2017,10:00:00,PropertyCrime
1021600,12/19/2017,18:30:00,PropertyCrime
3028700,11/5/2017,22:00:00,PropertyCrime
4031700,12/31/2017,17:00:00,PropertyCrime
5017012,12/15/2017,0:01:00,PropertyCrime
4080302,12/20/2017,9:00:00,PropertyCrime
1013400,12/20/2017,8:00:00,PropertyCrime
3059200,7/7/2017,8:00:00,PropertyCrime
2030900,11/1/2017,0:01:00,PropertyCrime
4026700,12/2/2017,0:01:00,PropertyCrime
3103400,10/1/2017,10:00:00,PropertyCrime
3118400,12/11/2017,0:00:00,PropertyCrime
3101800,12/30/2017,13:30:00,PropertyCrime
2004100,8/1/2017,12:00:00,PropertyCrime
4162100,6/28/2017,12:00:00,PropertyCrime
4089200,11/29/2017,0:01:00,PropertyCrime
1014700,12/19/2017,12:00:00,PropertyCrime
3070201,11/19/2017,1:00:00,PropertyCrime
3016200,11/22/2017,9:00:00,PropertyCrime
3073200,12/25/2017,19:00:00,PropertyCrime
4053200,1/17/2017,14:10:00,PropertyCrime
1010601,11/1/2017,9:00:00,PropertyCrime
4011700,10/1/2017,8:00:00,PropertyCrime
4038400,9/6/2017,19:30:00,PropertyCrime
3040100,10/5/2017,14:00:00,PropertyCrime
1017900,12/12/2017,0:01:00,PropertyCrime
3095400,10/15/2017,10:00:00,PropertyCrime
1002100,4/22/2017,23:00:00,PropertyCrime
1018100,9/8/2017,12:00:00,PropertyCrime
1014200,11/13/2017,7:00:00,PropertyCrime
2021001,12/21/2017,14:00:00,PropertyCrime
1027900,5/20/2017,13:30:00,PropertyCrime
2042100,10/19/2017,10:00:00,PropertyCrime
4087100,12/31/2017,19:00:00,PropertyCrime
2041300,11/26/2017,14:00:00,PropertyCrime
1007200,12/17/2017,7:00:00,PropertyCrime
4101700,11/1/2017,8:00:00,PropertyCrime
3043900,12/18/2017,16:00:00,PropertyCrime
4007100,12/13/2017,8:00:00,PropertyCrime
3043000,4/22/2017,0:01:00,PropertyCrime
1018200,12/16/2017,6:34:00,PropertyCrime
1005600,12/29/2017,22:00:00,PropertyCrime
1013300,11/6/2017,0:01:00,PropertyCrime
3031701,11/16/2017,10:00:00,PropertyCrime
5020700,4/3/2017,23:30:00,PropertyCrime
1000800,12/24/2017,8:00:00,PropertyCrime
1010900,9/17/2017,17:00:00,PropertyCrime
1000202,12/29/2017,8:00:00,PropertyCrime
3033900,11/1/2017,9:00:00,PropertyCrime
4029700,12/7/2017,21:00:00,PropertyCrime
4068300,10/24/2017,12:00:00,PropertyCrime
1009600,8/7/2017,9:00:00,PropertyCrime
3079400,11/22/2017,21:00:00,PropertyCrime
1022500,11/5/2017,14:00:00,PropertyCrime
3013300,12/23/2017,14:00:00,PropertyCrime
4099705,8/1/2017,0:00:00,PropertyCrime
1006400,10/22/2017,1:00:00,PropertyCrime
3018700,12/2/2017,10:00:00,PropertyCrime
3152200,9/22/2017,10:00:00,PropertyCrime
3121400,11/3/2017,19:00:00,PropertyCrime
2026500,1/18/2017,17:00:00,PropertyCrime
3048200,11/17/2017,16:42:00,PropertyCrime
3000100,12/26/2017,11:00:00,PropertyCrime
1001300,11/20/2017,15:00:00,PropertyCrime
2023702,7/18/2017,7:33:00,PropertyCrime
4044602,12/26/2017,0:01:00,PropertyCrime
2028800,11/1/2017,23:59:00,PropertyCrime
1006100,12/29/2017,0:01:00,PropertyCrime
4028700,12/11/2017,16:05:00,PropertyCrime
3013000,12/9/2017,12:00:00,PropertyCrime
2023502,9/23/2017,17:00:00,PropertyCrime
1006400,3/7/2017,7:00:00,PropertyCrime
3044900,11/22/2017,16:42:00,PropertyCrime
4003900,8/2/2017,12:00:00,PropertyCrime
3089200,12/2/2017,16:00:00,PropertyCrime
4059000,12/26/2017,16:00:00,PropertyCrime
4060300,7/1/2017,12:00:00,PropertyCrime
5000300,9/1/2017,17:27:00,PropertyCrime
4094203,12/14/2017,14:54:00,PropertyCrime
3080200,11/15/2017,12:00:00,PropertyCrime
3077600,8/30/2017,0:01:00,PropertyCrime
2022500,9/30/2017,10:00:00,PropertyCrime
3013300,12/22/2017,15:00:00,PropertyCrime
4048500,10/2/2017,13:00:00,PropertyCrime
2005001,11/17/2017,12:00:00,PropertyCrime
1007200,12/20/2017,0:01:00,PropertyCrime
1001300,12/25/2017,18:00:00,PropertyCrime
2048400,12/31/2017,18:00:00,PropertyCrime
4056500,10/30/2017,17:30:00,PropertyCrime
2038302,11/8/2017,15:19:00,PropertyCrime
2006700,2/2/2017,16:00:00,PropertyCrime
4048900,4/19/2017,10:00:00,PropertyCrime
3006600,11/30/2017,20:00:00,PropertyCrime
4035100,12/19/2017,5:50:00,PropertyCrime
1011100,7/26/2017,0:01:00,PropertyCrime
4033402,7/9/2017,17:45:00,PropertyCrime
4061900,10/3/2017,9:00:00,PropertyCrime
2040303,12/16/2017,12:00:00,PropertyCrime
4094203,12/3/2017,15:00:00,PropertyCrime
3079602,4/25/2017,21:30:00,PropertyCrime
2006300,12/23/2017,0:01:00,PropertyCrime
3044700,12/20/2017,15:00:00,PropertyCrime
1003300,9/1/2017,12:24:00,PropertyCrime
3000100,12/31/2017,20:00:00,PropertyCrime
4136700,10/1/2017,12:00:00,PropertyCrime
4157901,1/1/2017,0:01:00,PropertyCrime
4012200,10/31/2017,11:36:00,PropertyCrime
1023200,10/4/2017,0:01:00,PropertyCrime
3055000,12/15/2017,8:00:00,PropertyCrime
4015802,10/31/2017,12:00:00,PropertyCrime
4047900,5/28/2017,12:00:00,PropertyCrime
3028400,11/29/2017,15:47:00,PropertyCrime
2033202,3/19/2017,12:00:00,PropertyCrime
2022000,11/26/2017,22:00:00,PropertyCrime
1031703,11/27/2017,17:00:00,PropertyCrime
2040100,11/27/2017,18:24:00,PropertyCrime
4011600,10/19/2017,12:00:00,PropertyCrime
1004400,1/1/2017,0:01:00,PropertyCrime
3117202,12/29/2017,9:00:00,PropertyCrime
4091601,12/21/2017,0:00:00,PropertyCrime
2021502,10/5/2017,8:00:00,PropertyCrime
1003800,12/4/2017,12:00:00,PropertyCrime
4026100,11/27/2017,9:30:00,PropertyCrime
3037300,12/29/2017,15:30:00,PropertyCrime
1011100,5/27/2017,17:22:00,PropertyCrime
4039800,12/4/2017,9:00:00,PropertyCrime
1011900,11/14/2017,11:45:00,PropertyCrime
4021400,5/16/2017,17:00:00,PropertyCrime
1021800,12/18/2017,18:05:00,PropertyCrime
2022300,8/30/2017,19:04:00,PropertyCrime
3054900,9/29/2017,9:00:00,PropertyCrime
1029500,6/30/2017,6:00:00,PropertyCrime
2038600,12/18/2017,7:00:00,PropertyCrime
4009100,6/5/2017,12:00:00,PropertyCrime
2040302,10/15/2017,14:12:00,PropertyCrime
1024500,7/25/2017,10:00:00,PropertyCrime
4010000,11/17/2017,23:45:00,PropertyCrime
4005800,9/6/2017,16:00:00,PropertyCrime
1013200,12/12/2017,16:57:00,PropertyCrime
1016001,11/15/2017,8:00:00,PropertyCrime
1020300,10/12/2017,23:03:00,PropertyCrime
3120800,9/17/2017,16:00:00,PropertyCrime
4103202,6/2/2017,0:01:00,PropertyCrime
4010000,4/11/2017,2:30:00,PropertyCrime
2004100,9/12/2017,13:00:00,PropertyCrime
3056600,10/27/2017,17:00:00,PropertyCrime
1023300,7/1/2017,8:00:00,PropertyCrime
3027300,1/1/2017,12:00:00,PropertyCrime
2023702,12/22/2017,7:16:00,PropertyCrime
1009200,12/30/2017,14:30:00,PropertyCrime
3117800,12/25/2017,9:00:00,PropertyCrime
3096600,11/27/2017,14:00:00,PropertyCrime
4064102,7/21/2017,11:58:00,PropertyCrime
1004700,11/24/2017,16:29:00,PropertyCrime
1011201,12/31/2017,0:01:00,PropertyCrime
1012600,8/22/2017,9:00:00,PropertyCrime
5014608,2/12/2017,17:30:00,PropertyCrime
1028700,12/29/2017,8:00:00,PropertyCrime
5002001,8/18/2017,10:30:00,PropertyCrime
2022300,8/8/2017,6:07:00,PropertyCrime
