OBJECTID,stop_frisk1_XYTableToPoint_S_2,stop_frisk1_XYTableToPoint_S_3,geo_export_267875c8_5ee9_4cb_13
10955,2017-02-27,21:52:00,4036300
10956,2017-03-02,1:00:00,4036500
10957,2017-03-02,1:00:00,4036500
10958,2017-01-30,1:16:00,4039900
10959,2017-03-04,2:40:00,4040700
10960,2017-03-09,13:23:00,4033700
10961,2017-03-09,13:23:00,4033700
10962,2017-03-09,13:23:00,4033700
10963,2017-03-15,21:30:00,4026901
10964,2017-03-16,22:05:00,4038100
10965,2017-03-24,13:50:00,4030903
10966,2017-03-24,13:55:00,4038100
10967,2017-03-24,19:20:00,4038100
10968,2017-03-30,0:37:00,4027700
10969,2017-03-20,3:07:00,4027300
10970,2017-03-20,3:07:00,4027300
10971,2017-04-05,0:56:00,4037900
10972,2017-04-08,15:25:00,4036300
10973,2017-04-10,12:55:00,4032900
10974,2017-04-10,12:55:00,4032900
10975,2017-04-10,12:55:00,4032900
10976,2017-04-10,12:55:00,4032900
10977,2017-04-17,5:28:00,4029100
10978,2017-04-22,1:25:00,4027700
10979,2017-04-22,1:25:00,4027700
10980,2017-04-22,23:05:00,4040900
10981,2017-02-16,0:01:00,4027700
10982,2017-04-27,8:15:00,4035700
10983,2017-02-08,19:25:00,4027700
10985,2017-04-29,15:45:00,4035300
10986,2017-04-29,17:40:00,4035700
10987,2017-05-03,20:20:00,4039900
10988,2017-05-04,13:01:00,4030903
10989,2017-05-04,13:01:00,4030903
10990,2017-05-04,13:01:00,4030903
10991,2017-05-04,13:01:00,4030903
10992,2017-05-04,13:01:00,4030903
10993,2017-05-10,16:11:00,4037700
10994,2017-05-26,18:15:00,4026500
10995,2017-05-27,21:00:00,4037300
10996,2017-05-27,21:00:00,4037300
10997,2017-05-30,2:05:00,4027500
10998,2017-05-30,2:10:00,4027500
10999,2017-05-31,23:41:00,4027300
11000,2017-06-05,11:25:00,4031700
11001,2017-06-06,18:50:00,4036100
11002,2017-07-09,4:35:00,4032700
11003,2017-07-09,4:35:00,4032700
11004,2017-07-09,4:35:00,4032700
11005,2017-07-09,4:35:00,4032700
11006,2017-07-09,4:35:00,4032700
11007,2017-07-10,12:40:00,4028900
11008,2017-07-11,17:50:00,4037500
11009,2017-07-16,22:40:00,4029100
11010,2017-07-18,17:15:00,4027300
11011,2017-07-17,17:10:00,4036700
11012,2017-07-17,17:10:00,4036700
11013,2017-07-17,17:10:00,4036700
11014,2017-07-19,7:58:00,4027900
11015,2017-07-19,8:03:00,4027700
11016,2017-07-21,0:50:00,4028500
11017,2017-05-20,16:50:00,4027500
11018,2017-07-28,14:19:00,4037500
11019,2017-07-31,22:30:00,4037500
11020,2017-08-03,22:20:00,4030903
11021,2017-08-03,22:20:00,4030903
11022,2017-08-12,20:45:00,4040700
11023,2017-08-12,20:40:00,4040700
11024,2017-08-12,20:40:00,4040700
11025,2017-08-17,3:50:00,4028100
11026,2017-08-18,3:25:00,4040100
11027,2017-08-19,0:30:00,4038100
11028,2017-08-19,3:50:00,4027900
11029,2017-08-24,0:05:00,4029100
11030,2017-08-24,0:05:00,4029100
11031,2017-08-26,3:20:00,4040500
11032,2017-08-24,4:20:00,4035700
11033,2017-08-30,9:35:00,4028900
11034,2017-09-04,1:14:00,4027500
11035,2017-09-06,14:03:00,4040700
