boro_ct2010,Date,Time,Type
2041400,6/25/2017,14:00:00,PersonalCrime
3039700,6/25/2017,17:00:00,PersonalCrime
2006200,6/25/2017,23:00:00,PersonalCrime
4036800,6/25/2017,17:30:00,PersonalCrime
5010500,6/25/2017,13:00:00,PersonalCrime
4094202,6/25/2017,11:25:00,PersonalCrime
1023200,6/25/2017,14:22:00,PersonalCrime
3115600,6/25/2017,4:55:00,PersonalCrime
3008500,6/25/2017,10:00:00,PersonalCrime
2040800,6/25/2017,1:10:00,PersonalCrime
3078600,6/25/2017,10:00:00,PersonalCrime
2019700,6/25/2017,19:07:00,PersonalCrime
3044300,6/25/2017,20:50:00,PersonalCrime
4085300,6/25/2017,0:35:00,PersonalCrime
3006000,6/25/2017,14:00:00,PersonalCrime
3016300,6/25/2017,22:50:00,PersonalCrime
2038100,6/25/2017,4:50:00,PersonalCrime
2043100,6/25/2017,0:30:00,PersonalCrime
1021100,6/25/2017,19:00:00,PersonalCrime
2040304,6/25/2017,23:15:00,PersonalCrime
2038000,6/25/2017,1:45:00,PersonalCrime
1019600,6/25/2017,14:20:00,PersonalCrime
2004200,6/25/2017,23:35:00,PersonalCrime
1012000,6/25/2017,20:00:00,PersonalCrime
3001800,6/25/2017,23:55:00,PersonalCrime
2027900,6/25/2017,16:00:00,PersonalCrime
1000800,6/25/2017,17:50:00,PersonalCrime
2014702,6/25/2017,0:20:00,PersonalCrime
3010100,6/25/2017,8:25:00,PersonalCrime
3043100,6/25/2017,0:20:00,PersonalCrime
3076000,6/25/2017,0:30:00,PersonalCrime
4000700,6/25/2017,2:37:00,PersonalCrime
3052700,6/25/2017,1:15:00,PersonalCrime
3023300,6/25/2017,16:10:00,PersonalCrime
3029300,6/25/2017,3:50:00,PersonalCrime
2043500,6/25/2017,3:35:00,PersonalCrime
4053000,6/25/2017,4:00:00,PersonalCrime
3005800,6/25/2017,17:00:00,PersonalCrime
3094402,6/25/2017,11:30:00,PersonalCrime
1012500,6/25/2017,5:28:00,PersonalCrime
1000800,6/25/2017,17:50:00,PersonalCrime
2009300,6/25/2017,17:00:00,PersonalCrime
3028300,6/25/2017,20:25:00,PersonalCrime
4046300,6/25/2017,3:20:00,PersonalCrime
1013300,6/25/2017,20:45:00,PersonalCrime
4014201,6/25/2017,20:28:00,PersonalCrime
4122702,6/25/2017,0:00:00,PersonalCrime
2003900,6/25/2017,6:05:00,PersonalCrime
2023100,6/25/2017,17:40:00,PersonalCrime
3037900,6/25/2017,0:30:00,PersonalCrime
3038100,6/25/2017,0:53:00,PersonalCrime
3091000,6/25/2017,16:30:00,PersonalCrime
4097202,6/25/2017,14:25:00,PersonalCrime
2035600,6/25/2017,12:20:00,PersonalCrime
1018600,6/25/2017,20:50:00,PersonalCrime
5024401,6/25/2017,9:52:00,PersonalCrime
5013302,6/25/2017,13:40:00,PersonalCrime
2041800,6/25/2017,8:00:00,PersonalCrime
3111600,6/25/2017,2:00:00,PersonalCrime
3093800,6/25/2017,14:00:00,PersonalCrime
3043100,6/25/2017,0:20:00,PersonalCrime
4004300,6/25/2017,12:00:00,PersonalCrime
3001500,6/25/2017,2:00:00,PersonalCrime
2040501,6/25/2017,6:00:00,PersonalCrime
3081600,6/25/2017,9:20:00,PersonalCrime
5002100,6/25/2017,3:17:00,PersonalCrime
4015802,6/25/2017,0:10:00,PersonalCrime
2037100,6/25/2017,3:30:00,PersonalCrime
3076200,6/25/2017,10:08:00,PersonalCrime
4028900,6/25/2017,1:00:00,PersonalCrime
2012300,6/25/2017,3:00:00,PersonalCrime
4012200,6/25/2017,20:00:00,PersonalCrime
2009300,6/25/2017,22:15:00,PersonalCrime
3008200,6/25/2017,11:45:00,PersonalCrime
3117601,6/25/2017,23:20:00,PersonalCrime
2009800,6/25/2017,10:00:00,PersonalCrime
2009300,6/25/2017,18:12:00,PersonalCrime
3074200,6/25/2017,11:30:00,PersonalCrime
2040304,6/25/2017,22:31:00,PersonalCrime
2039400,6/25/2017,23:50:00,PersonalCrime
2022702,6/25/2017,16:35:00,PersonalCrime
2009300,6/25/2017,18:13:00,PersonalCrime
4005700,6/25/2017,1:05:00,PersonalCrime
1029300,6/25/2017,4:15:00,PersonalCrime
2045101,6/25/2017,8:25:00,PersonalCrime
1022800,6/25/2017,23:30:00,PersonalCrime
3010100,6/25/2017,23:10:00,PersonalCrime
4008500,6/25/2017,0:55:00,PersonalCrime
3087600,6/25/2017,7:00:00,PersonalCrime
3051001,6/25/2017,5:00:00,PersonalCrime
3090200,6/25/2017,0:25:00,PersonalCrime
3090800,6/25/2017,4:15:00,PersonalCrime
2036100,6/25/2017,10:18:00,PersonalCrime
2033400,6/25/2017,20:53:00,PersonalCrime
4085300,6/25/2017,0:35:00,PersonalCrime
3008500,6/25/2017,21:00:00,PersonalCrime
1008700,6/25/2017,3:30:00,PersonalCrime
4101001,6/25/2017,1:20:00,PersonalCrime
3030900,6/25/2017,18:30:00,PersonalCrime
2018102,6/25/2017,23:25:00,PersonalCrime
2040100,6/25/2017,20:50:00,PersonalCrime
3118800,6/25/2017,0:00:00,PersonalCrime
3049200,6/25/2017,19:50:00,PersonalCrime
2030200,6/25/2017,1:30:00,PersonalCrime
3118800,6/25/2017,0:00:00,PersonalCrime
4084900,6/25/2017,22:59:00,PersonalCrime
4027600,6/25/2017,0:15:00,PersonalCrime
3040200,6/25/2017,17:19:00,PersonalCrime
3076200,6/25/2017,19:50:00,PersonalCrime
3010100,6/26/2017,0:00:00,PersonalCrime
5005000,6/26/2017,17:20:00,PersonalCrime
1019300,6/26/2017,0:00:00,PersonalCrime
4044800,6/26/2017,10:41:00,PersonalCrime
3083000,6/26/2017,2:00:00,PersonalCrime
1008700,6/26/2017,23:30:00,PersonalCrime
2024501,6/26/2017,23:15:00,PersonalCrime
4046000,6/26/2017,19:00:00,PersonalCrime
2019300,6/26/2017,9:00:00,PersonalCrime
4035700,6/26/2017,18:20:00,PersonalCrime
4004300,6/26/2017,18:30:00,PersonalCrime
3026000,6/26/2017,17:35:00,PersonalCrime
4003200,6/26/2017,22:00:00,PersonalCrime
4033401,6/26/2017,11:05:00,PersonalCrime
1022102,6/26/2017,18:30:00,PersonalCrime
3090000,6/26/2017,9:57:00,PersonalCrime
3120800,6/26/2017,7:00:00,PersonalCrime
4012000,6/26/2017,2:20:00,PersonalCrime
5009700,6/26/2017,1:30:00,PersonalCrime
2000100,6/26/2017,21:30:00,PersonalCrime
2011502,6/26/2017,23:59:00,PersonalCrime
3028300,6/26/2017,21:00:00,PersonalCrime
4013800,6/26/2017,11:30:00,PersonalCrime
2005200,6/26/2017,14:40:00,PersonalCrime
1000600,6/26/2017,12:25:00,PersonalCrime
5020700,6/26/2017,16:30:00,PersonalCrime
3059000,6/26/2017,20:00:00,PersonalCrime
2044400,6/26/2017,21:15:00,PersonalCrime
3115200,6/26/2017,20:39:00,PersonalCrime
4140902,6/26/2017,18:40:00,PersonalCrime
1017000,6/26/2017,10:30:00,PersonalCrime
3021500,6/26/2017,22:30:00,PersonalCrime
4055600,6/26/2017,14:45:00,PersonalCrime
3099200,6/26/2017,11:00:00,PersonalCrime
4028400,6/26/2017,20:30:00,PersonalCrime
1004000,6/26/2017,5:25:00,PersonalCrime
3025500,6/26/2017,12:00:00,PersonalCrime
2028600,6/26/2017,12:58:00,PersonalCrime
3090000,6/26/2017,9:45:00,PersonalCrime
1005400,6/26/2017,0:30:00,PersonalCrime
3115800,6/26/2017,17:48:00,PersonalCrime
3099200,6/26/2017,11:00:00,PersonalCrime
2000400,6/26/2017,19:20:00,PersonalCrime
2022901,6/26/2017,8:50:00,PersonalCrime
1018000,6/26/2017,23:30:00,PersonalCrime
1011100,6/26/2017,9:18:00,PersonalCrime
3035500,6/26/2017,7:00:00,PersonalCrime
2024501,6/26/2017,23:15:00,PersonalCrime
3036900,6/26/2017,22:45:00,PersonalCrime
4029400,6/26/2017,20:00:00,PersonalCrime
2000100,6/26/2017,12:41:00,PersonalCrime
2009600,6/26/2017,19:45:00,PersonalCrime
3051602,6/26/2017,15:00:00,PersonalCrime
2027900,6/26/2017,14:00:00,PersonalCrime
1013300,6/26/2017,4:00:00,PersonalCrime
4103202,6/26/2017,0:45:00,PersonalCrime
5027705,6/26/2017,21:15:00,PersonalCrime
3077600,6/26/2017,11:05:00,PersonalCrime
3037700,6/26/2017,20:20:00,PersonalCrime
4101001,6/26/2017,8:00:00,PersonalCrime
2009000,6/26/2017,17:04:00,PersonalCrime
4036600,6/26/2017,13:30:00,PersonalCrime
1011500,6/26/2017,1:08:00,PersonalCrime
4150702,6/26/2017,16:45:00,PersonalCrime
4040500,6/26/2017,22:50:00,PersonalCrime
1018000,6/26/2017,17:50:00,PersonalCrime
4015300,6/26/2017,23:50:00,PersonalCrime
1003400,6/26/2017,21:55:00,PersonalCrime
2042500,6/26/2017,22:00:00,PersonalCrime
2038100,6/26/2017,23:57:00,PersonalCrime
4058100,6/26/2017,3:00:00,PersonalCrime
2022200,6/26/2017,16:41:00,PersonalCrime
