Census_Tracts,Time_Period,total
2009200,latenight,14
2009200,midday,17
2009200,morning,12
2009300,evening,32
2009300,latenight,27
2009300,midday,44
2009300,morning,36
2009600,evening,12
2009600,latenight,15
2009600,midday,18
2009600,morning,6
2009800,evening,17
2009800,latenight,18
2009800,midday,18
2009800,morning,6
2011000,evening,0
2011000,latenight,0
2011000,midday,1
2011000,morning,1
2011502,evening,18
2011502,latenight,10
2011502,midday,15
2011502,morning,12
2011700,evening,10
2011700,latenight,8
2011700,midday,8
2011700,morning,10
2011800,evening,1
2011800,latenight,4
2011800,midday,4
2011800,morning,4
2011900,evening,28
2011900,latenight,19
2011900,midday,20
2011900,morning,22
2012101,evening,12
2012101,latenight,10
2012101,midday,6
2012101,morning,6
2012102,evening,5
2012102,latenight,3
2012102,midday,4
2012102,morning,3
2012300,evening,15
2012300,latenight,11
2012300,midday,17
2012300,morning,13
2012500,evening,18
2012500,latenight,13
2012500,midday,18
2012500,morning,4
2012701,evening,16
2012701,latenight,7
2012701,midday,27
2012701,morning,8
2012901,evening,24
2012901,latenight,12
2012901,midday,16
2012901,morning,14
2013000,evening,3
2013000,latenight,1
2013000,midday,5
2013000,morning,3
2013100,evening,25
2013100,latenight,15
2013100,midday,21
2013100,morning,12
2013200,evening,10
2013200,latenight,16
2013200,midday,6
2013200,morning,5
2013300,evening,17
2013300,latenight,15
2013300,midday,13
2013300,morning,10
2013500,evening,19
2013500,latenight,6
2013500,midday,12
2013500,morning,7
2013800,evening,3
2013800,latenight,8
2013800,midday,5
2013800,morning,3
2014100,evening,17
2014100,latenight,13
2014100,midday,14
2014100,morning,8
2014300,evening,13
2014300,latenight,7
2014300,midday,12
2014300,morning,11
2014400,evening,20
2014400,latenight,7
2014400,midday,14
2014400,morning,10
2014500,evening,28
2014500,latenight,13
2014500,midday,25
2014500,morning,7
2014701,evening,20
2014701,latenight,12
2014701,midday,8
2014701,morning,2
2014702,evening,13
2014702,latenight,6
2014702,midday,3
2014702,morning,7
2014900,evening,14
2014900,latenight,10
2014900,midday,12
2014900,morning,12
2015100,evening,16
2015100,latenight,12
2015100,midday,19
2015100,morning,14
2015200,evening,2
2015200,latenight,1
2015200,midday,4
2015200,morning,3
2015300,evening,15
2015300,latenight,17
2015300,midday,12
